,time,year,month,mom6m,mom12m,chmom,mom126m,bmom1m
135,135,1991,4,-0.039933374,-0.033769541,-0.06013829,0.020204915999999996,1
136,136,1991,5,0.0183663811,0.0522826084,0.004307856,0.0140585251,1
137,137,1991,6,-0.0233014,-0.007024461,-0.03299719,0.009695790000000003,1
138,138,1991,7,0.0172112652,0.0284320115,-0.011287827,0.0284990922,1
139,139,1991,8,-0.00941914,0.0037705064,-0.016478293,0.007059153000000002,1
140,140,1991,9,0.0298247582,0.0387529339,0.0084566406,0.0213681176,1
141,141,1991,10,-0.001050385,0.0323785368,-0.019759849,0.018709464,1
142,142,1991,11,0.0090617397,-0.019785242,0.025291354,-0.0162296143,1
143,143,1991,12,0.0973385567,0.1211063973,-0.045263349,0.1426019057,1
144,144,1992,1,-0.181081017,-0.198436117,-0.070632236,-0.11044878100000001,1
145,145,1992,2,-0.063012477,-0.056516922,-0.02258487,-0.040427607,0
146,146,1992,3,-0.02194353,-0.035775884,0.0174096486,-0.0393531786,0
147,147,1992,4,-0.01740741,-0.016389024,0.0016026107999999998,-0.019010020800000003,0
148,148,1992,5,-0.013766901000000002,-0.020315139,-0.001832451,-0.011934450000000001,1
149,149,1992,6,0.0188801087,-0.001299491,0.0156020049,0.0032781037999999978,1
150,150,1992,7,-0.002738978,0.026561862400000004,-0.031083322000000007,0.028344344000000007,1
151,151,1992,8,-0.000406064,0.001193148,-0.012966291,0.012560227,1
152,152,1992,9,0.0203130605,0.0290005368,0.0118636804,0.0084493801,1
153,153,1992,10,0.0173955976,0.0225385405,-0.009593112,0.0269887096,1
154,154,1992,11,0.012970367,0.0155986377,-0.023061491,0.036031858,1
155,155,1992,12,0.0170131849,0.0410645844,-0.027726973,0.044740157899999994,1
156,156,1993,1,-0.045521597,-0.018441357,-0.079486712,0.033965115000000004,1
157,157,1993,2,-0.029437272,0.0162272225,-0.05870030900000001,0.029263037000000013,1
158,158,1993,3,0.0213353936,0.0376560421,-0.010914695,0.0322500886,1
159,159,1993,4,0.0096097921,0.0054902482,-0.015786525,0.0253963171,1
160,160,1993,5,-0.011737638,0.0011680467,-0.006677546,-0.0050600919999999995,1
161,161,1993,6,0.0231107264,0.0293526849,-0.015068217,0.0381789434,1
162,162,1993,7,0.0195178751,0.0044895051,0.0138465434,0.005671331699999999,1
163,163,1993,8,0.0036524256,0.0318376612,-0.027668548,0.0313209736,1
164,164,1993,9,0.0287210211,0.0333629906,0.0050906326000000005,0.023630388500000002,0
165,165,1993,10,-0.023407852000000003,-0.020154511,-0.007301293,-0.016106559000000003,1
166,166,1993,11,-0.012471055,-0.014991096,-0.0060005480000000005,-0.0064705069999999995,1
167,167,1993,12,0.0248296268,0.0410556524,-0.028120066000000003,0.0529496928,1
168,168,1994,1,-0.028498526,-0.033241494,-0.021428596,-0.007069929999999999,1
169,169,1994,2,0.0021508341,-0.019013194,0.015132623700000004,-0.012981789600000003,1
170,170,1994,3,-0.012295198,-0.021648038,0.0018403008,-0.0141354988,1
171,171,1994,4,0.05721841110000001,0.044331832,0.0025121889,0.054706222200000015,1
172,172,1994,5,-0.011450676000000002,-0.030086996,-0.002175865,-0.009274811,1
173,173,1994,6,0.0163264612,0.000276381,0.0191128958,-0.002786434600000002,0
174,174,1994,7,0.012109693700000002,0.021950492,-0.012238444,0.0243481377,1
175,175,1994,8,-0.005136505,0.006859993000000001,-0.025484001000000003,0.020347496000000003,1
